optionid,productid,catalogid,category_id,featurecaption,featuretype,featurerequired,sorting,url,info,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty,thumbpath,colorcode
"34","PTAR324-4","75","0","Hard Drive Size","Dropdown","1","0","","","120","No Hard Drive","-80","0","-NoHDD",,"0","0","0","1",,
,,,,,,,,,,"122","1 TB Hard Drive Installed","0","1","+1TB",,"1","0","0","1",,
,,,,,,,,,,"123","2 TB Hard Drive Installed","30","2","+2TB",,"0","0","0","1",,
,,,,,,,,,,"7342","4 TB Hard Drive Installed","120","3","+4TB",,"0","0","0","1",,
"35","PTAR324-8","76","0","Hard Drive Size","Dropdown","1","0","","","124","No Hard Drive","-110","0","-NoHDD",,"0","0","0","1",,
,,,,,,,,,,"126","1 TB Hard Drive Installed","-30","1","+1TB",,"0","0","0","1",,
,,,,,,,,,,"127","2 TB Hard Drive Installed","0","2","+2TB",,"1","0","0","1",,
,,,,,,,,,,"128","4 TB Hard Drive Installed","90","3","+4TB",,"0","0","0","1",,
,,,,,,,,,,"129","6 TB Hard Drive Installed","190","4","+6TB",,"0","0","0","1",,
"36","PTAR324-16","77","0","Hard Drive Size","Dropdown","1","0","","","130","No Hard Drive","-150","0","-NoHDD",,"0","0","0","1",,
,,,,,,,,,,"132","1 TB Hard Drive Installed","-70","1","+1TB",,"0","0","0","1",,
,,,,,,,,,,"133","2 TB Hard Drive Installed","-40","2","+2TB",,"0","0","0","1",,
,,,,,,,,,,"134","4 TB Hard Drive Installed","50","4","+4TB",,"0","0","0","1",,
,,,,,,,,,,"135","6 TB Hard Drive Installed","150","5","+6TB",,"0","0","0","1",,
,,,,,,,,,,"7343","3 TB Hard Drive Installed","0","3","+3TB",,"1","0","0","1",,
,,,,,,,,,,"7344","12 TB Hard Drives Installed","450","6","+12TB",,"0","0","0","1",,
"59","AN-200","83","0","Cable Lengths","Radio","1","2","","","231","25 Feet per camera","0","0",,,"1","0","0","1",,
,,,,,,,,,,"232","60 Feet per camera","10","1","+60",,"0","0","0","1",,
,,,,,,,,,,"233","100 Feet per camera","20","2","+100",,"0","0","0","1",,
,,,,,,,,,,"234","150 Feet per camera","40","3","+150",,"0","0","0","1",,
,,,,,,,,,,"235","200 Feet per camera","60","4","+200",,"0","0","0","1",,
"57","AN-200","83","0","Cameras","DropImage","1","0","","","223","2 x ID-4362 - 720TVL Indoor Domes","0","0","-IH","assets/images/Products/Cameras/ID-4261/ID-4261_1_500x375.jpg","1","0","0","1",,
,,,,,,,,,,"224","2 x CD-8322 - 700TVL Outdoor Domes","0","1","-ED","assets/images/Products/Cameras/CD-8161/CD-8161_1_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"225","2 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","0","2","-LH","assets/images/Products/Cameras/CD9362/CD-9361_2_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"226","1 x ID-4362 - 720TVL Indoor Domes / 1 x CD-8322 - 700TVL Outdoor Domes","0","3","-IHED","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"227","1 x ID-4362 - 720TVL Indoor Domes / 1 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","0","4","-IHLH","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
"58","AN-200","83","0","Hard Drive Size","Dropdown","1","1","","","228","500 GB Hard Drive Installed","0","0","+500GB",,"1","0","0","1",,
,,,,,,,,,,"229","1 TB Hard Drive Installed","50","1","+1TB",,"0","0","0","1",,
,,,,,,,,,,"230","2 TB Hard Drive Installed","80","2","+2TB",,"0","0","0","1",,
"60","AN-200","83","0","Power Supply","Radio","1","3","","","236","Individual Power Adapters","0","0",,,"1","0","0","1",,
,,,,,,,,,,"237","Multi-Camera Regulated Power Box","74","1","+PWR4-12",,"0","0","0","1",,
"115","AN-800","84","0","Cable Lengths","Radio","1","2","","","487","200 Feet per camera","240","4","+200",,"0","0","0","1",,
,,,,,,,,,,"488","150 Feet per camera","160","3","+150",,"0","0","0","1",,
,,,,,,,,,,"489","100 Feet per camera","80","2","+100",,"0","0","0","1",,
,,,,,,,,,,"490","60 Feet per camera","40","1","+60",,"0","0","0","1",,
,,,,,,,,,,"491","25 Feet per camera","0","0",,,"1","0","0","1",,
"113","AN-800","84","0","Cameras","DropImage","1","0","","","472","4 x ID-4362 - 720TVL Indoor Domes / 4 x CD-8322 - 700TVL Outdoor Domes","40","4","-IH4ED4","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"473","6 x ID-4362 - 720TVL Indoor Domes / 2 x CD-8322 - 700TVL Outdoor Domes","60","5","-IH6ED2","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"474","8 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","720","2","-LH","assets/images/Products/Cameras/CD9362/CD-9361_2_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"475","8 x CD-8322 - 700TVL Outdoor Domes","0","0","-ED","assets/images/Products/Cameras/CD-8161/CD-8161_1_500x375.jpg","1","0","0","1",,
,,,,,,,,,,"476","8 x ID-4362 - 720TVL Indoor Domes","80","1","-IH","assets/images/Products/Cameras/ID-4261/ID-4261_1_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"477","2 x ID-4362 - 720TVL Indoor Domes / 6 x CD-8322 -700TVL Outdoor Domes","20","3","-IH2ED6","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"478","6 x ID-4362 - 720TVL Indoor Domes / 2 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","240","6","-IH6LH2","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
,,,,,,,,,,"479","4 x ID-4362 - 720TVL Indoor Domes / 4 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","400","7","-IH4LH4","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
,,,,,,,,,,"480","2 x ID-4362 - 720TVL Indoor Domes / 6 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","560","8","-IH2LH6","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
"114","AN-800","84","0","Hard Drive Size","Dropdown","1","1","","","481","2 TB Hard Drive Installed","80","2","+2TB",,"0","0","0","1",,
,,,,,,,,,,"482","1 TB Hard Drive Installed","50","1","+1TB",,"0","0","0","1",,
,,,,,,,,,,"483","500 GB Hard Drive Installed","0","0","+500GB",,"1","0","0","1",,
,,,,,,,,,,"484","4 TB Hard Drives (2 x 2TB)","250","3","+4TB",,"0","0","0","1",,
,,,,,,,,,,"485","6 TB Hard Drives (3 x 2TB)","375","4","+6TB",,"0","0","0","1",,
,,,,,,,,,,"486","8 TB Hard Drives (4 x 2TB)","500","5","+8TB",,"0","0","0","1",,
"116","AN-800","84","0","Power Supply","Radio","1","3","","","492","Multi-Camera Regulated Power Box","105","1","+PWR9-12",,"0","0","0","1",,
,,,,,,,,,,"493","Individual Power Adapters","0","0",,,"1","0","0","1",,
"119","AN-1200","85","0","Cable Lengths","Radio","1","2","","","507","200 Feet per camera","240","4","+200",,"0","0","0","1",,
